2002-07-01,5.316680431365967,7.9033331871032715,9.626666069030762,7.0833330154418945,7.896666049957275,15632508
2002-08-01,6.738349437713623,10.016666412353516,10.366665840148926,7.466666221618652,7.866665840148926,7353864
2002-09-01,6.245025157928467,9.283332824707031,10.0,8.516666412353516,10.0,4482324
2002-10-01,5.964728355407715,8.866665840148926,9.566665649414062,8.583333015441895,9.166666030883789,2503392
2002-11-01,6.038431644439697,8.8100004196167,9.416666030883789,8.710000038146973,8.916666030883789,2527848
2002-12-01,5.380441665649414,7.849999904632568,9.076665878295898,7.676665782928467,8.833333015441895,2074920
2003-01-01,5.711721420288086,8.333333015441895,9.166666030883789,7.75,8.0,3088764
2003-02-01,6.375938892364502,9.116665840148926,9.203332901000977,8.0,8.25333309173584,3359544
2003-03-01,6.103182315826416,8.726666450500488,9.166666030883789,8.333333015441895,9.126666069030762,1855956
2003-04-01,5.870057106018066,8.393333435058594,9.293333053588867,8.170000076293945,8.670000076293945,2065752
2003-05-01,6.431885242462158,9.19666576385498,9.243332862854004,8.166666030883789,8.393333435058594,3253596
2003-06-01,7.238494873046875,10.350000381469727,10.460000038146973,9.0,9.166666030883789,5401956
2003-07-01,7.09395694732666,10.143333435058594,11.666666030883789,9.75,10.376666069030762,3890712
2003-08-01,8.216479301452637,11.359999656677246,12.083333015441895,9.583333015441895,10.036665916442871,8429292
2003-09-01,8.378012657165527,11.583333015441895,12.866665840148926,10.460000038146973,10.460000038146973,3768732
2003-10-01,8.758941650390625,12.109999656677246,12.710000038146973,11.333333015441895,11.666666030883789,3578832
2003-11-01,8.975884437561035,12.236665725708008,13.043333053588867,11.166666030883789,11.833333015441895,2593440
2003-12-01,10.81702995300293,14.746665954589844,15.416666030883789,12.09333324432373,12.479999542236328,5144256
2004-01-01,10.550514221191406,14.383333206176758,17.5,12.793333053588867,15.0,3672132
2004-02-01,11.49186897277832,15.666666030883789,17.083332061767578,14.166666030883789,14.383333206176758,2905536
2004-03-01,10.163777351379395,13.703332901000977,15.916666030883789,11.666666030883789,15.75,3466368
2004-04-01,11.395000457763672,15.363332748413086,16.66666603088379,12.793333053588867,13.583333015441895,1472016
2004-05-01,12.804072380065918,16.976665496826172,17.66666603088379,15.25,15.416666030883789,4300956
2004-06-01,12.5400972366333,16.626665115356445,17.333332061767578,15.833333015441895,16.510000228881836,1166340
2004-07-01,12.482272148132324,16.549999237060547,16.833332061767578,15.833333015441895,16.503332138061523,1477104
2004-08-01,13.778650283813477,18.086666107177734,18.66666603088379,16.503332138061523,16.663333892822266,1313640
2004-09-01,14.113850593566895,18.52666664123535,19.16666603088379,16.510000228881836,18.16666603088379,1494924
2004-10-01,14.14686393737793,18.56999969482422,19.0,16.66666603088379,18.350000381469727,1248720
2004-11-01,15.528280258178711,20.383333206176758,21.41666603088379,18.333332061767578,18.333332061767578,2690244
2004-12-01,19.154874801635742,24.93666648864746,26.75,19.010000228881836,19.343332290649414,3319992
2005-01-01,17.879756927490234,23.27666664123535,28.200000762939453,22.333332061767578,25.126665115356445,2076612
2005-02-01,17.862682342529297,23.01333236694336,23.75,21.260000228881836,22.5,2209104
2005-03-01,20.054121017456055,25.836666107177734,25.91666603088379,23.020000457763672,23.209999084472656,2211228
2005-04-01,18.04896354675293,23.253332138061523,26.5,21.27666664123535,25.91666603088379,1100316
2005-05-01,22.444774627685547,28.91666603088379,29.893333435058594,22.94333267211914,23.663333892822266,8427228
2005-06-01,21.407760620117188,27.093332290649414,29.083332061767578,25.19333267211914,28.696666717529297,5167632
2005-07-01,26.836076736450195,33.96333312988281,35.33333206176758,26.68666648864746,27.010000228881836,5810232
2005-08-01,30.5913143157959,38.43666458129883,43.416664123535156,33.09666442871094,34.08000183105469,5009736
2005-09-01,30.079294204711914,37.793331146240234,39.459999084472656,35.1966667175293,38.33333206176758,2547600
2005-10-01,30.002349853515625,37.6966667175293,39.166664123535156,34.893333435058594,37.916664123535156,3074196
2005-11-01,32.87221145629883,41.03333282470703,41.746665954589844,37.18333435058594,38.53333282470703,3273516
2005-12-01,35.15535354614258,43.883331298828125,49.166664123535156,40.0,41.0,3131988
2006-01-01,37.222232818603516,46.46333312988281,49.58333206176758,43.33333206176758,43.84666442871094,2292960
2006-02-01,42.14445877075195,52.32666778564453,54.08333206176758,44.676666259765625,45.82666778564453,2645988
2006-03-01,49.02537536621094,60.869998931884766,64.5,51.93000030517578,52.5,5957940
2006-04-01,48.03202819824219,59.63666534423828,66.48666381835938,50.0,61.666664123535156,4824192
2006-05-01,46.78900909423828,58.09333419799805,65.41666412353516,52.503334045410156,59.63666534423828,7622904
2006-06-01,43.6859130859375,53.869998931884766,60.0,41.666664123535156,56.666664123535156,4446996
2006-07-01,41.628814697265625,51.33333206176758,60.416664123535156,50.09333419799805,55.0,2839596
2006-08-01,48.08843231201172,59.016666412353516,64.66666412353516,50.5,51.5533332824707,4380237
2006-09-01,49.786006927490234,61.099998474121094,62.133331298828125,52.29999923706055,59.5,7121415
2006-10-01,45.494571685791016,55.83333206176758,64.5,55.54999923706055,61.099998474121094,2442507
2006-11-01,42.73773956298828,52.45000076293945,57.96666717529297,51.5,56.33333206176758,8223111
2006-12-01,41.00229263305664,50.08333206176758,53.96666717529297,48.516666412353516,53.166664123535156,3148158
2007-01-01,42.18939208984375,51.53333282470703,54.5,49.5,50.08333206176758,5842794
2007-02-01,41.372901916503906,50.21666717529297,53.0,46.733333587646484,51.166664123535156,2066277
2007-03-01,40.32929611206055,48.95000076293945,51.29999923706055,45.33333206176758,49.03333282470703,5943432
