date,symbol,marketcapname,sector
02-01-2017,DIVISLAB,Largecap,Pharmaceuticals
01-03-2017,DRREDDY,Largecap,Pharmaceuticals
03-04-2017,DRREDDY,Largecap,Pharmaceuticals
02-05-2017,DRREDDY,Largecap,Pharmaceuticals
01-02-2018,BOSCHLTD,Largecap,Auto
01-03-2018,BOSCHLTD,Largecap,Auto
01-03-2018,PFC,Largecap,Finance
02-04-2018,BEL,Largecap,Aerospace & Defence
02-05-2018,BEL,Largecap,Aerospace & Defence
02-05-2018,HAL,Largecap,Aerospace & Defence
02-05-2018,PNB,Largecap,Bank
01-06-2018,BEL,Largecap,Aerospace & Defence
01-06-2018,ICICIGI,Largecap,Services
01-06-2018,HAL,Largecap,Aerospace & Defence
01-06-2018,PNB,Largecap,Bank
03-09-2018,HEROMOTOCO,Largecap,Auto
03-09-2018,SBILIFE,Largecap,Services
03-09-2018,INDIGO,Largecap,Services
01-10-2018,HEROMOTOCO,Largecap,Auto
01-10-2018,TATAMOTORS,Largecap,Auto
01-10-2018,TATACONSUM,Largecap,FMCG
01-10-2018,EICHERMOT,Largecap,Auto
01-10-2018,BHARTIARTL,Largecap,Telecom
01-11-2018,TATAMOTORS,Largecap,Auto
01-01-2019,TATASTEEL,Largecap,Metals
01-01-2019,ICICIPRULI,Largecap,Services
01-02-2019,TATACONSUM,Largecap,FMCG
03-06-2019,BOSCHLTD,Largecap,Auto
01-07-2019,BOSCHLTD,Largecap,Auto
01-07-2019,EICHERMOT,Largecap,Auto
01-08-2019,ITC,Largecap,FMCG
01-08-2019,EICHERMOT,Largecap,Auto
01-08-2019,JINDALSTEL,Largecap,Metals
03-09-2019,CIPLA,Largecap,Pharmaceuticals
03-09-2019,BOSCHLTD,Largecap,Auto
01-10-2019,INDUSINDBK,Largecap,Bank
01-02-2020,ITC,Largecap,FMCG
01-02-2020,GAIL,Largecap,Industrials
01-02-2020,PNB,Largecap,Bank
01-02-2020,POWERGRID,Largecap,Miscellaneous
01-02-2020,ADANIPOWER,Largecap,Miscellaneous
02-03-2020,ABB,Largecap,FMCG
02-03-2020,BHEL,Largecap,FMCG
02-03-2020,SBIN,Largecap,Bank
02-03-2020,HDFCBANK,Largecap,Bank
02-03-2020,HEROMOTOCO,Largecap,Auto
02-03-2020,VEDL,Largecap,Industrials
02-03-2020,ONGC,Largecap,Oils
02-03-2020,TATAPOWER,Largecap,Miscellaneous
02-03-2020,BAJAJHLDNG,Largecap,Finance
02-03-2020,BOSCHLTD,Largecap,Auto
02-03-2020,BPCL,Largecap,Industrials
02-03-2020,ITC,Largecap,FMCG
02-03-2020,IOC,Largecap,Industrials
02-03-2020,BANKBARODA,Largecap,Bank
02-03-2020,GAIL,Largecap,Industrials
02-03-2020,INDUSINDBK,Largecap,Bank
02-03-2020,AXISBANK,Largecap,Bank
02-03-2020,TVSMOTOR,Largecap,Auto
02-03-2020,GODREJCP,Largecap,FMCG
02-03-2020,PNB,Largecap,Bank
02-03-2020,UNIONBANK,Largecap,Bank
02-03-2020,CANBK,Largecap,Bank
02-03-2020,MARUTI,Largecap,Auto
02-03-2020,NTPC,Largecap,Miscellaneous
02-03-2020,POWERGRID,Largecap,Miscellaneous
02-03-2020,ADANIPORTS,Largecap,Industrials
02-03-2020,BAJAJ-AUTO,Largecap,Auto
02-03-2020,BAJAJFINSV,Largecap,Finance
