symbol,1mo,1mo-benchmark,3mo,3mo-benchmark,6mo,6mo-benchmark,1y,1y-benchmark,3y,3y-benchmark,5y,5y-benchmark,10y,10y-benchmark
BHEL,-7.474427361403311,-6.3432794924858165,-17.940336575093355,1.3526041942486493,-26.522273747917197,2.1001966627131754,-26.702086762585648,10.341964092085309,2.0014848872040654,53.75362301915345,-20.15256167720462,22.37893274293619,-7.0204773381911085,115.29635658630096
SBIN,-4.042268901709064,-6.3432794924858165,10.610760538192299,1.3526041942486493,15.308072827111015,2.1001966627131754,13.900495333571483,10.341964092085309,45.935015046478306,62.81310331615164,38.600510055412215,69.74951661206957,147.08079581272713,115.74333743897786
SHRIRAMFIN,-13.823161810546095,-6.3432794924858165,3.4292049689623045,1.3526041942486493,2.153848775333323,2.1001966627131754,11.50948470442011,10.341964092085309,70.16723105906625,62.81310331615164,92.86511448805335,69.74951661206957,103.49864778227571,207.4025098883536
ADANIENT,-34.11016511236685,-6.3432794924858165,6.0025561132787475,1.3526041942486493,-28.250321739133476,2.1001966627131754,-11.7334390951176,8.584527321146606,175.13529228793965,52.54084341716349,36.28891319781134,59.03962215731654,5236.814697968176,277.07375287343723
UNIONBANK,-2.3354092209648427,-6.3432794924858165,2.98188360931704,1.3526041942486493,1.5415789376448874,2.1001966627131754,-11.938790948995353,10.341964092085309,27.758585320138927,53.496820539923796,-17.083832043883344,60.036327282245274,-2.374651352992814,114.86948938932488
JSWENERGY,-15.221582453980714,-6.3432794924858165,13.555787062726907,1.3526041942486493,3.1282585529369786,2.1001966627131754,34.51511777629008,10.341964092085309,72.67987848657954,62.81310331615164,-5.412697894189753,21.09965187873083,422.39647954097046,114.45585223466949
TRENT,-17.225071717283576,-5.776895382081061,-8.750497230059242,9.384459090754001,-9.637372965284964,-0.9462196844607236,21.235706256892712,18.600577569474034,43.87070868186426,73.1474040795527,81.21796197587481,67.33067474774555,917.0969553318812,273.5059704190749
TATAPOWER,-7.221928729428854,-5.776895382081061,20.34791926760647,9.384459090754001,-1.5287232941238447,-0.9462196844607236,13.864000348079303,18.600577569474034,1.057690977260986,73.1474040795527,-1.6054422478735588,9.374997012006821,368.7821337839997,95.96059371879707
BPCL,-10.683364712363945,-5.776895382081061,22.121942547073395,9.384459090754001,28.38460345682835,-0.9462196844607236,27.095234325008512,18.600577569474034,179.9779018773539,73.1474040795527,369.1840212562894,67.33067474774555,42.68397813265451,117.70681665900959
IOC,-2.661599936295988,-5.776895382081061,8.365022154979115,9.384459090754001,-2.8136888747324615,-0.9462196844607236,0.209126641715935,18.600577569474034,41.52091549255938,73.1474040795527,133.3840441506982,67.33067474774555,37.370829003887415,117.70681665900959
NAUKRI,-8.962684745219217,-5.776895382081061,-3.014927195079291,9.384459090754001,5.768660360307836,-0.9462196844607236,9.55223880597015,18.600577569474034,188.95522388059703,73.1474040795527,166.2686567164179,67.33067474774555,1656.7164179104477,273.5059704190749
COALINDIA,-9.606208542481614,-5.776895382081061,-0.38783361074102174,9.384459090754001,-4.057280909380094,-0.9462196844607236,9.278035338116016,18.600577569474034,15.409620596864688,60.36899805429328,2.78401313120669,18.629404823058913,-35.11800766734212,94.44281989540461
PIDILITIND,-4.96503923322771,11.20930663561358,25.874125874125873,12.896410966617688,20.27972027972028,13.107824234554366,52.51748678567524,27.593367136551887,280.34966742242136,77.27272690614095,316.04895958533655,77.58985487294517,1630.7692307692307,301.6913384030903
ZYDUSLIFE,-4.836753742529495,11.20930663561358,9.1519593104776,12.896410966617688,10.259341634004043,13.107824234554366,27.177247234678365,27.593367136551887,122.84687955851246,58.95734307890255,146.8871686971106,59.241706161137444,234.7704442532133,260.18957345971563
GAIL,-12.671778233020198,-0.7677899544879484,-0.6559894874524603,0.5733591289424648,7.921286312965732,7.5289012879793,-9.825772847552791,7.448440902546087,4.637944327019694,23.12583235037243,35.24812069916494,35.987571024601735,43.36913258913185,72.4189977527592
TVSMOTOR,-19.51219512195122,-6.161545765099472,-7.560971888100229,-0.3963066475146995,-3.6585365853658534,8.072234627126837,-6.463418355802228,13.391091548340158,474.7560826743522,56.440837891496884,1109.7560975609756,79.46781555352594,174.82950051839217,101.3825356913584
BHARTIARTL,-18.073089839280065,0.4168268772098078,-10.03322326782951,8.502236201897057,11.777402643102029,15.238617342056482,15.531554286007418,10.269045299350374,39.534878750203056,63.50891445190646,39.58471421442434,94.01667827891954,135.07092184510284,123.56183647685455
ADANIPORTS,-7.61003683073641,0.4168268772098078,3.249688892694009,8.502236201897057,24.804601513375587,15.238617342056482,4.072395577097946,10.269045299350374,168.20237911568324,63.50891445190646,96.50207562342968,43.32983534838553,180.8361222214345,92.8111740750658
ABB,-11.958350258306139,-4.614757724184632,-15.12091318662627,1.121544082639521,-18.57340236709551,-2.0523967173054336,-6.163994399359683,3.7958467103462192,59.51470824998493,28.577267047377607,168.7077606925682,91.01465338235771,217.09643392219985,101.50638464037796
SIEMENS,-23.511879166522867,-4.614757724184632,-16.543135025422377,-1.2117130505446665,-21.90723327491146,-4.312419011376367,-16.375023668788074,1.4008832836219482,9.964451278289744,8.351170003221949,33.70273627018981,54.514824037586976,202.7038158074136,168.17511925937922
NTPC,-4.632426988922457,-1.4804674336681773,3.3903953652127394,2.980897289851285,-12.051025882348315,-4.647174373667487,-17.80323917203696,5.934350589263121,-12.7114020731042,18.69721056392043,19.076200111668033,81.30001664313193,52.693572813667565,110.98920955382073
